filename,start_time_s,end_time_s,chroma_mean,chroma_std,mfccs_mean,mfccs_std,cluster
20170304_204544.wav,252.435737,274.7849433,0.33049977,0.31731164,-20.26783,114.03572,0
20170326_153235.wav,994.4990476,1230.680816,0.31273517,0.31312242,-15.99766,114.258286,0
Voice 040.wav,70.72798186,88.22421769,0.3040553,0.31608674,-14.673573,108.49113,0
Voice 040.wav,40.50721088,62.07854875,0.298173,0.3223595,-17.262903,114.160324,0
Entropy.wav,40.42594104,54.27664399,0.27325103,0.3182903,-13.796,122.17663,0
Folkb.wav,56.54058957,74.52444444,0.31973192,0.32587498,-13.425968,110.545334,0
scott.wav,63.75038549,87.53922902,0.32411632,0.3219335,-11.913666,120.85601,0
Voice 152.wav,0,0.2321995465,0.32287958,0.3212773,-12.17153,120.32317,0
20170321_135518.wav,133.0271202,196.6730159,0.34965935,0.30846217,-15.546132,121.92988,0
20170304_204544.wav,0,31.16117914,0.3355292,0.3145423,-19.98938,116.08604,0
Voice 146.wav,162.8995918,228.4959637,0.34619394,0.31951934,-11.153465,114.25608,0
20170321_135518.wav,51.15356009,133.0271202,0.31411102,0.3193561,-16.346888,123.08153,0
4 hour session.wav,2921.174785,3247.252608,0.39740106,0.32073328,-18.83426,116.77884,0
20180622_195916.wav,82.47727891,84.98503401,0.36186543,0.31980804,-19.937233,123.21939,0
4 hour session.wav,101.2738322,1159.767075,0.33448687,0.31975588,-17.736536,112.85013,0
Voice 040.wav,0,9.71755102,0.34163937,0.31687805,-17.831772,114.36857,0
newstuff.wav,469.2056236,743.1546485,0.3516757,0.31596166,-14.058999,119.99432,0
Voice 040.wav,9.71755102,40.50721088,0.3075987,0.31835252,-17.690601,109.89004,0
20170321_135518.wav,331.8712018,333.9029478,0.28716707,0.32018086,-15.545626,119.812325,0
20170326_153235.wav,478.9580045,914.1696145,0.3277945,0.31292367,-17.209183,115.532364,0
zero.wav,28.09614512,35.89804989,0.38319904,0.3190494,-12.600187,118.04424,0
glalåten.wav,22.7323356,27.06285714,0.37962878,0.324904,-11.697781,108.65701,0
guitbudapest.wav,137.9149206,170.8524263,0.3851954,0.32419175,-15.391032,121.14045,0
20170326_153235.wav,0,218.6971429,0.3195084,0.31524524,-15.963583,116.45869,0
20180527_002923.wav,1.834376417,1.985306122,0.3612351,0.32719865,-14.79535,118.12299,0
20180622_195916.wav,23.77723356,25.37941043,0.36303243,0.3166158,-20.39853,118.11917,0
jul jul jul.wav,230.6786395,234.8350113,0.33702818,0.3284382,-17.659945,113.40907,0
Voice 060.wav,0,1.323537415,0.38054937,0.32801628,-16.18179,120.71474,0
Voice 009.wav,49.51655329,57.60870748,0.3674109,0.3334235,-15.029275,114.61852,0
Voice 060.wav,1.323537415,1.764716553,0.36947018,0.3226625,-12.181459,117.965965,0
Voice 052.wav,73.15446712,92.18321995,0.28635004,0.32346106,-16.655394,120.70859,0
Voice 052.wav,159.207619,180.732517,0.3150129,0.32459405,-16.71005,114.77391,0
zero.wav,131.7848526,156.3051247,0.33978355,0.31244996,-13.595178,118.71015,0
Voice 038.wav,4.806530612,5.317369615,0.37898564,0.31119418,-18.212881,118.20996,0
Voice 100.wav,9.508571429,10.5999093,0.3569104,0.3142395,-14.647928,112.96033,0
Voice 133.wav,140.9915646,180.2797279,0.31083262,0.31099448,-13.476889,113.042625,0
Voice 052.wav,27.24861678,40.15891156,0.35038626,0.3190107,-13.181627,120.80526,0
